Players On Lygon,2002,192-202 Lygon Street,Carlton,200,-37.80245924,144.9670522
Bar Centrale,2002,160-162 Lygon Street,Carlton,500,-37.80344164,144.9667699
Purple Emerald,2006,172-192 Flinders Street,Melbourne (CBD),110,-37.81663851,144.9685429
Percys Bar & Bistro,2002,414-422 Lygon Street,Carlton,120,-37.79694555,144.9678126
JWow Bar,2008,221 Little Lonsdale Street,Melbourne (CBD),100,-37.810658,144.9657034
The Men's Gallery,2006,597-603 Lonsdale Street,Melbourne (CBD),675,-37.81491898,144.9544951
Dr Martin's Tavern,2006,86-88 Collins Street,Melbourne (CBD),261,-37.81393777,144.9705847
Metropolitan Hotel,2006,263-267 William Street,Melbourne (CBD),300,-37.81292397,144.9565837
Baroq House,2006,2-20 Drewery Place,Melbourne (CBD),303,-37.81130304,144.9639703
Stork Hotel,2006,502-504 Elizabeth Street,Melbourne (CBD),180,-37.80719768,144.9603498
Mac's Hotel,2006,34-38 Franklin Street,Melbourne (CBD),125,-37.80752292,144.9616126
Court House Hotel,2002,86-90 Errol Street,North Melbourne,140,-37.80287733,144.9499557
E J Whitten Bar,2011,122-148 Harbour Esplanade,Docklands,70,-37.81656591,144.9475776
Captains Bar,2011,122-148 Harbour Esplanade,Docklands,80,-37.81656591,144.9475776
The Charles Dickens Tavern,2006,280-292 Collins Street,Melbourne (CBD),450,-37.81567229,144.9645574
Number 8,2006,8 Whiteman Street,Southbank,200,-37.82312164,144.9586604
Cafe Greco,2006,8 Whiteman Street,Southbank,508,-37.82312164,144.9586604
Waterfront,2006,8 Whiteman Street,Southbank,349,-37.82312164,144.9586604
Automatic Cafe,2006,8 Whiteman Street,Southbank,340,-37.82312164,144.9586604
Polepole Bar,2016,267 Little Collins Street,Melbourne (CBD),100,-37.81483458,144.9656034
Hell's Kitchen,2016,252-254 Flinders Lane,Melbourne (CBD),55,-37.8166033,144.9655966
McMahons,2013,573-579 Spencer Street,West Melbourne (Residential),160,-37.80740767,144.9469867
Clare Castle Hotel,2006,415-421 Rathdowne Street,Carlton,50,-37.79652005,144.9704262
The Arthouse,2011,614-616 Elizabeth Street,Carlton,250,-37.80389369,144.9589387
Royce On St Kilda Road,2002,375-385 St Kilda Road,Melbourne (Remainder),120,-37.83506751,144.9755139
Clyde Hotel,2006,377-391 Cardigan Street,Carlton,239,-37.79725532,144.9657541
Naughtons Hotel,2002,43-49 Royal Parade,Parkville,120,-37.79554181,144.9575345
Beer De Luxe,2013,2 Swanston Street,Melbourne (CBD),355,-37.81784465,144.9699175
Exford Hotel,2011,199-203 Russell Street,Melbourne (CBD),300,-37.81179179,144.9673406
Bisq Cafeteria,2006,107-109 Flinders Lane,Melbourne (CBD),200,-37.81560645,144.9708344
University House,2002,156-292 Grattan Street,Parkville,611,-37.79739836,144.9612468
U Bar,2002,156-292 Grattan Street,Parkville,200,-37.79739836,144.9612468
Bennetts Lane Jazz Club,2006,25 Bennetts Lane,Melbourne (CBD),300,-37.80889245,144.967558
Victoria Hotel,2006,312-316 Victoria Street,North Melbourne,130,-37.80563237,144.9557051
Central Club Hotel,2006,240-248 Victoria Street,North Melbourne,150,-37.80591439,144.9581264
The Public Bar Hotel,2006,232-238 Victoria Street,North Melbourne,180,-37.80593327,144.9585875
Murmur,2011,15-19 Warburton Lane,Melbourne (CBD),50,-37.81381239,144.9618462
Crown Entertainment Complex and Casino,2013,8 Whiteman Street,Southbank,320,-37.82312164,144.9586604
The Waiting Room,2013,8 Whiteman Street,Southbank,120,-37.82312164,144.9586604
Hotel Sophia,2011,277-287 King Street,Melbourne (CBD),116,-37.81367535,144.9541999
Loki Bar,2002,65-67 Peel Street,West Melbourne (Residential),140,-37.80666721,144.955498
Portland Hotel,2006,115-127 Russell Street,Melbourne (CBD),414,-37.81367486,144.9681892
Adelphi Hotel,2006,187 Flinders Lane,Melbourne (CBD),80,-37.81635789,144.9683751
Spleen Central,2006,39-43 Bourke Street,Melbourne (CBD),100,-37.81193572,144.9720472
Loop 23,2006,19-23 Meyers Place,Melbourne (CBD),150,-37.8121518,144.9721078
Asuka Restaurant,2006,59-63 Bourke Street,Melbourne (CBD),150,-37.81212537,144.9715659
Imperial Hotel,2006,2-8 Bourke Street,Melbourne (CBD),300,-37.8112003,144.972676
Cheers On Little Bourke Street,2006,19-25 Little Bourke Street,Melbourne (CBD),350,-37.81074304,144.9719903
Young & Jackson,2006,1-7 Swanston Street,Melbourne (CBD),470,-37.817356,144.967023
European Bier Cafe,2006,114-122 Exhibition Street,Melbourne (CBD),550,-37.81285806,144.9711999
Bridie O'Reillys,2006,62-66 Little Collins Street,Melbourne (CBD),285,-37.81280958,144.971442
Mecca,2006,3 Southgate Avenue,Southbank,200,-37.82066923,144.9662623
Chill On Pty Ltd,2008,296-298 Russell Street,Melbourne (CBD),120,-37.80957196,144.9669287
Coopers Inn,2006,242-284 Exhibition Street,Melbourne (CBD),400,-37.80941489,144.9699756
The Owl & The Pussycat,2006,333-351 Exhibition Street,Melbourne (CBD),100,-37.8078604,144.9680267
Duke of Kent Hotel,2006,293-299 La Trobe Street,Melbourne (CBD),200,-37.81081439,144.9605086
Shamiana,2006,244-250 Queen Street,Melbourne (CBD),200,-37.81269018,144.959964
Great Western Hotel,2006,204-208 King Street,Melbourne (CBD),390,-37.81521196,144.9554836
The Keeper's Arm,2006,351-359 Queensberry Street,North Melbourne,240,-37.80395618,144.9559672
Bond Lounge,2006,16-26 Bond Street,Melbourne (CBD),500,-37.81814578,144.9630575
Waterside Hotel,2006,508-514 Flinders Street,Melbourne (CBD),324,-37.820166,144.9571505
Hotel Milan,2006,186-190 Lygon Street,Carlton,540,-37.80263986,144.9669216
The Leveson,2006,46-50 Leveson Street,North Melbourne,400,-37.80370014,144.9514591
John Curtin Hotel,2002,27-31 Lygon Street,Carlton,350,-37.80619915,144.9656988
Pugg Mahones Irish Bar,2006,106-112 Hardware Street,Melbourne (CBD),200,-37.81213605,144.9606805
Eldorado Hotel,2002,46-50 Leveson Street,North Melbourne,400,-37.80370014,144.9514591
Hyde,2006,312-318 Russell Street,Melbourne (CBD),269,-37.80932575,144.9668166
Atlantic South Wharf Function Centre,2006,7-9 South Wharf,Southbank,1300,-37.82409303,144.9503336
The Irish Times,2013,425-427 Little Collins Street,Melbourne (CBD),170,-37.8162542,144.9605354
Locker Room Club Bar,2002,94-148 Harbour Esplanade,Docklands,500,-37.81656591,144.9475776
Redback Brewery Hotel,2002,75-79 Flemington Road,North Melbourne,670,-37.79895071,144.9533473
The Chifley On Flemington,2002,5-17 Flemington Road,North Melbourne,230,-37.80140031,144.9558713
Limerick Castle Hotel & Restaurant,2002,161-163 Errol Street,North Melbourne,50,-37.80114341,144.9496139
Albion Hotel,2008,171-173 Curzon Street,North Melbourne,150,-37.79889904,144.9485505
The Turf Bar & Restaurant,2006,131-141 Queen Street,Melbourne (CBD),527,-37.81549904,144.9605409
La La Land. The Melbourne Room,2011,391-393 Little Lonsdale Street,Melbourne (CBD),175,-37.81187439,144.9603411
Plough and Harrow Hotel,2006,594-600 Swanston Street,Carlton,400,-37.80276989,144.9639453
Clique Bar,2011,26-32 King Street,Melbourne (CBD),222,-37.81952934,144.957466
The Apartment Restaurant Club Lounge,2006,401-405 Little Bourke Street,Melbourne (CBD),250,-37.81403196,144.9610348
Word Events,2006,14-20 Goldie Place,Melbourne (CBD),200,-37.81328585,144.960731
Menzies Tavern,2006,500-514 Collins Street,Melbourne (CBD),200,-37.81753383,144.9574732
Carlton Yacht Club Bar,2008,298 Lygon Street,Carlton,60,-37.79998572,144.9673764
University Hotel,2008,270-276 Lygon Street,Carlton,111,-37.8005263,144.9672432
Bunker Lounge Bar,2006,407-409 Swanston Street,Melbourne (CBD),92,-37.80895593,144.9631797
Commodity Cafe,2013,497-503 St Kilda Road,Melbourne (Remainder),150,-37.84331737,144.9790762
Hilton Hotels of Australia (Melbourne) Pty Ltd,2002,178-226 Wellington Parade,East Melbourne,200,-37.81582277,144.9834989
MCG Worx,2002,178-226 Wellington Parade,East Melbourne,144,-37.81582277,144.9834989
Hilton,2006,178-226 Wellington Parade,East Melbourne,200,-37.81582277,144.9834989
De Biers,2006,277-279 Flinders Lane,Melbourne (CBD),400,-37.81724201,144.9652979
Explorers Inn,2006,10-22 Spencer Street,Melbourne (CBD),50,-37.82050677,144.9552421
Welcome Stranger,2006,124-128 Bourke Street,Melbourne (CBD),350,-37.81207094,144.9692645
CBD Cafe Bar,2006,174-192 Exhibition Street,Melbourne (CBD),190,-37.81121462,144.9706454
United Kingdom Settlers Association,2002,146W-150W Toorak Road,South Yarra,100,-37.83764623,144.9843706
Red Violin,2008,231-233 Bourke Street,Melbourne (CBD),303,-37.81343614,144.9668415
Hard Rock Cafe,2006,103-137 Spring Street,Melbourne (CBD),500,-37.81199351,144.9729245
Bear Brass,2006,3 Southgate Avenue,Southbank,200,-37.82066923,144.9662623
P J O'Briens Irish Pub,2006,3 Southgate Avenue,Southbank,350,-37.82066923,144.9662623
Canada Hotel,2002,594-600 Swanston Street,Carlton,250,-37.80276989,144.9639453
Chris's Daily Grind,2006,170-176 William Street,Melbourne (CBD),50,-37.81492637,144.9582309
Cafe Dom - The Granite Bar,2002,497-503 St Kilda Road,Melbourne (Remainder),500,-37.84331737,144.9790762
Altitude,2006,163-169 Russell Street,Melbourne (CBD),300,-37.81246709,144.9676479
The Bliss Lounge,2006,7-11 Queen Street,Melbourne (CBD),210,-37.81861863,144.9619461
Double Happiness Bar,2011,21 Liverpool Street,Melbourne (CBD),164,-37.81118056,144.9712639
Townhall Hotel North Melbourne,2002,33 Errol Street,North Melbourne,220,-37.80414139,144.9489068
The Castle Hotel,2002,56-58 Courtney Street,North Melbourne,317,-37.8008985,144.953035
Penny Blue,2011,318-322 Little Bourke Street,Melbourne (CBD),85,-37.81292437,144.9631276
Lincoln Hotel,2002,91-95 Cardigan Street,Carlton,50,-37.80448528,144.9645057
Dan O'Connell Hotel,2002,223-227 Canning Street,Carlton,600,-37.79303229,144.9733817
The Exchange Hotel,2006,120-138 King Street,Melbourne (CBD),1240,-37.81703156,144.9564078
North Melbourne Football Club Social Club,2002,204-206 Arden Street,North Melbourne,210,-37.79905531,144.9413118
Kanga Kasino,2002,204-206 Arden Street,North Melbourne,90,-37.79905531,144.9413118
Lagers On Lygon,2002,66-88 Lygon Street,Carlton,80,-37.80530329,144.9665747
Holiday Inn Melbourne,2002,1-5 Spencer Street,Docklands,130,-37.8226581,144.9549939
Spotless Services,2002,Brunton Avenue,East Melbourne,2545,-37.81992883,144.9832828
Loco Bar,2008,85-161 Spencer Street,Docklands,400,-37.81815358,144.9523393
Alumbra At Central Pier,2008,143-175 Harbour Esplanade,Docklands,690,-37.8165193,144.9435654
Tabaret At Melbourne Central,2002,315-321 Elizabeth Street,Melbourne (CBD),250,-37.81124935,144.9614724
La La Land,2002,391-393 Little Lonsdale Street,Melbourne (CBD),175,-37.81187439,144.9603411
Elm's Family Hotel,2002,267-271 Spring Street,Melbourne (CBD),200,-37.8086111,144.9714481
The Oasis Oz Hotel,2011,175-191 Dryburgh Street,North Melbourne,390,-37.80205261,144.9433563
RMIT Village Old Melbourne,2006,5-17 Flemington Road,North Melbourne,356,-37.80140031,144.9558713
Bull And Bear Tavern,2006,341-347 Flinders Lane,Melbourne (CBD),180,-37.81782313,144.9630313
Pugg Mahones,2006,171-175 Elgin Street,Carlton,500,-37.79750574,144.9687079
Long Room,2008,162-168 Collins Street,Melbourne (CBD),620,-37.81450301,144.9678476
Mai Tai Restaurant,2006,226-236 Russell Street,Melbourne (CBD),170,-37.81098272,144.9676444
Kivotos Cafe Bar,2002,312-318 Russell Street,Melbourne (CBD),250,-37.80932575,144.9668166
Hi Fi Bar & Ballroom,2002,125-133 Swanston Street,Melbourne (CBD),800,-37.81472467,144.9658102
Gin Palace,2002,188-194 Little Collins Street,Melbourne (CBD),150,-37.81390779,144.9675807
Velour,2002,121-123 Flinders Lane,Melbourne (CBD),350,-37.81567009,144.9705132
Troika Bar,2002,106 Little Lonsdale Street,Melbourne (CBD),60,-37.8091536,144.96859
The Oxford Scholar Hotel,2002,427-433 Swanston Street,Melbourne (CBD),486,-37.80846658,144.962901
Shanghai Club,2002,242-244 Little Bourke Street,Melbourne (CBD),209,-37.81213633,144.965603
Enka Karaoke Bar,2002,213-217 Russell Street,Melbourne (CBD),80,-37.81156167,144.9672365
Hollywood Karaoke Bar,2002,184-186 Bourke Street,Melbourne (CBD),150,-37.81267583,144.9676888
The Sherlock Holmes Inn,2002,415-417 Collins Street,Melbourne (CBD),70,-37.81746814,144.9608681
The Sen Bar,2002,231-233 Exhibition Street,Melbourne (CBD),120,-37.81051104,144.9695206
Holiday Inn On Flinders Melbourne,2002,24-40 Spencer Street,Melbourne (CBD),100,-37.82020482,144.9551524
The Kitchen Restaurant,2002,435-443 Little Collins Street,Melbourne (CBD),200,-37.81638558,144.9600859
Australia On Collins Bar,2002,258-274 Collins Street,Melbourne (CBD),11,-37.81536587,144.9648999
Grosvenor Tavern,2002,353 Little Collins Street,Melbourne (CBD),230,-37.81594942,144.9631329
The Carlton Hotel,2002,193-199 Bourke Street,Melbourne (CBD),200,-37.81320485,144.9676452
Melbourne International Backpackers,2002,442-450 Elizabeth Street,Melbourne (CBD),365,-37.8083077,144.9608588
Basement 407,2002,407-409 Swanston Street,Melbourne (CBD),150,-37.80895593,144.9631797
Connells Tavern,2002,31-39 Elizabeth Street,Melbourne (CBD),350,-37.81741878,144.9643316
Hosies Tavern,2002,1-5 Elizabeth Street,Melbourne (CBD),270,-37.81805666,144.964608
Embassy Bar,2002,2-20 Drewery Place,Melbourne (CBD),303,-37.81130304,144.9639703
