20191029_bar_row_0,Players On Lygon,2002,192-202 Lygon Street,Carlton,200,-37.80245924,144.9670522
20191029_bar_row_1,Bar Centrale,2002,160-162 Lygon Street,Carlton,500,-37.80344164,144.9667699
20191029_bar_row_2,Purple Emerald,2006,172-192 Flinders Street,Melbourne (CBD),110,-37.81663851,144.9685429
20191029_bar_row_3,Percys Bar & Bistro,2002,414-422 Lygon Street,Carlton,120,-37.79694555,144.9678126
20191029_bar_row_4,JWow Bar,2008,221 Little Lonsdale Street,Melbourne (CBD),100,-37.810658,144.9657034
20191029_bar_row_5,The Men's Gallery,2006,597-603 Lonsdale Street,Melbourne (CBD),675,-37.81491898,144.9544951
20191029_bar_row_6,Dr Martin's Tavern,2006,86-88 Collins Street,Melbourne (CBD),261,-37.81393777,144.9705847
20191029_bar_row_7,Metropolitan Hotel,2006,263-267 William Street,Melbourne (CBD),300,-37.81292397,144.9565837
20191029_bar_row_8,Baroq House,2006,2-20 Drewery Place,Melbourne (CBD),303,-37.81130304,144.9639703
20191029_bar_row_9,Stork Hotel,2006,502-504 Elizabeth Street,Melbourne (CBD),180,-37.80719768,144.9603498
20191029_bar_row_10,Mac's Hotel,2006,34-38 Franklin Street,Melbourne (CBD),125,-37.80752292,144.9616126
20191029_bar_row_11,Court House Hotel,2002,86-90 Errol Street,North Melbourne,140,-37.80287733,144.9499557
20191029_bar_row_12,E J Whitten Bar,2011,122-148 Harbour Esplanade,Docklands,70,-37.81656591,144.9475776
20191029_bar_row_13,Captains Bar,2011,122-148 Harbour Esplanade,Docklands,80,-37.81656591,144.9475776
20191029_bar_row_14,The Charles Dickens Tavern,2006,280-292 Collins Street,Melbourne (CBD),450,-37.81567229,144.9645574
20191029_bar_row_15,Number 8,2006,8 Whiteman Street,Southbank,200,-37.82312164,144.9586604
20191029_bar_row_16,Cafe Greco,2006,8 Whiteman Street,Southbank,508,-37.82312164,144.9586604
20191029_bar_row_17,Waterfront,2006,8 Whiteman Street,Southbank,349,-37.82312164,144.9586604
20191029_bar_row_18,Automatic Cafe,2006,8 Whiteman Street,Southbank,340,-37.82312164,144.9586604
20191029_bar_row_19,Polepole Bar,2016,267 Little Collins Street,Melbourne (CBD),100,-37.81483458,144.9656034
20191029_bar_row_20,Hell's Kitchen,2016,252-254 Flinders Lane,Melbourne (CBD),55,-37.8166033,144.9655966
20191029_bar_row_21,McMahons,2013,573-579 Spencer Street,West Melbourne (Residential),160,-37.80740767,144.9469867
20191029_bar_row_22,Clare Castle Hotel,2006,415-421 Rathdowne Street,Carlton,50,-37.79652005,144.9704262
20191029_bar_row_23,The Arthouse,2011,614-616 Elizabeth Street,Carlton,250,-37.80389369,144.9589387
